bitcoin_close;bitcoin_open;bitcoin_max;bitcoin_min;bitcoin_volume;date
8,223.4;7,957.4;8,288.5;7,889.6;513.91K;20/10/2019
8,208.2;8,224.1;8,315.3;8,155.7;489.40K;21/10/2019
8,031.4;8,207.4;8,289.1;8,017.7;570.39K;22/10/2019
7,477.0;8,031.0;8,055.0;7,329.2;892.08K;23/10/2019
7,422.7;7,476.8;7,501.5;7,366.3;586.49K;24/10/2019
8,658.3;7,422.8;8,697.7;7,404.9;1.18M;25/10/2019
9,230.6;8,658.4;10,540.0;8,061.8;1.78M;26/10/2019
9,529.6;9,230.6;9,773.2;9,081.0;1.16M;27/10/2019
9,207.2;9,530.1;9,866.9;9,202.5;1.04M;28/10/2019
9,411.3;9,206.5;9,531.3;9,125.3;918.48K;29/10/2019
9,157.9;9,411.3;9,411.3;9,018.4;789.73K;30/10/2019
9,152.6;9,157.9;9,378.9;8,959.6;798.93K;31/10/2019
9,230.1;9,153.1;9,270.4;9,057.2;689.65K;01/11/2019
9,300.6;9,230.3;9,356.7;9,201.2;570.74K;02/11/2019
9,198.3;9,300.5;9,359.1;9,095.0;536.56K;03/11/2019
9,396.4;9,198.7;9,500.4;9,134.1;681.01K;04/11/2019
9,310.8;9,396.1;9,452.7;9,193.9;653.42K;05/11/2019
9,338.9;9,311.2;9,424.6;9,262.7;578.03K;06/11/2019
9,223.5;9,339.2;9,367.0;9,130.0;603.54K;07/11/2019
8,778.2;9,223.6;9,254.8;8,722.4;791.79K;08/11/2019
8,804.5;8,778.1;8,877.5;8,746.9;512.02K;09/11/2019
9,036.8;8,804.7;9,092.9;8,763.5;581.57K;10/11/2019
8,736.9;9,036.9;9,066.4;8,649.4;601.16K;11/11/2019
8,812.6;8,737.4;8,841.2;8,615.7;575.16K;12/11/2019
8,783.1;8,813.2;8,829.7;8,721.1;454.33K;13/11/2019
8,661.2;8,782.9;8,799.8;8,615.8;515.43K;14/11/2019
8,476.3;8,660.8;8,761.8;8,437.1;653.71K;15/11/2019
8,497.3;8,476.2;8,532.8;8,450.7;471.16K;16/11/2019
8,509.8;8,497.4;8,631.7;8,413.0;531.22K;17/11/2019
8,208.4;8,510.3;8,516.3;8,110.4;692.60K;18/11/2019
8,145.7;8,207.7;8,245.6;8,032.8;654.27K;19/11/2019
8,099.3;8,145.7;8,223.0;8,074.2;607.27K;20/11/2019
7,627.9;8,099.4;8,129.6;7,519.7;891.50K;21/11/2019
7,272.5;7,627.9;7,700.9;6,818.5;1.41M;22/11/2019
7,324.1;7,271.6;7,342.5;7,093.7;783.18K;23/11/2019
6,924.7;7,325.0;7,344.1;6,894.9;904.50K;24/11/2019
7,115.6;6,924.7;7,352.8;6,534.8;1.29M;25/11/2019
7,162.8;7,115.5;7,329.5;7,045.1;844.27K;26/11/2019
7,510.6;7,162.8;7,636.9;6,875.4;996.49K;27/11/2019
7,426.7;7,510.6;7,639.5;7,380.6;737.58K;28/11/2019
7,742.7;7,426.6;7,825.3;7,412.3;766.71K;29/11/2019
7,546.6;7,742.7;7,787.7;7,472.7;650.60K;30/11/2019
7,396.4;7,546.5;7,546.5;7,244.4;777.00K;01/12/2019
7,298.2;7,395.9;7,433.8;7,173.6;687.78K;02/12/2019
7,291.8;7,298.1;7,389.4;7,227.1;548.77K;03/12/2019
7,204.4;7,291.9;7,702.2;7,113.6;971.75K;04/12/2019
