date;topix_open;topix_max;topix_min;topix_close;topix_closed_ajusted;topix_volume;euro_open;euro_max;euro_min;euro_close;euro_closed_ajusted;euro_volume;sp500_open;sp500_max;sp500_min;sp500_close;sp500_closed_ajusted;sp500_volume;sse_open;sse_max;sse_min;sse_close;sse_closed_ajusted;sse_volume;nasdaq_open;nasdaq_max;nasdaq_min;nasdaq_close;nasdaq_closed_ajusted;nasdaq_volume
21/10/2019;1682.00;1689.00;1682.00;1687.00;1687.00;939000.00;1089.93;1094.66;1088.19;1092.63;1092.63;179071500.00;2996.48;3007.33;2995.35;3006.72;3006.72;3271620000.00;2933.90;2940.32;2917.69;2939.62;2939.62;132500.00;8137.42;8164.14;8117.26;8162.99;8162.99;1752860000.00
22/10/2019;;;;;;;1092.06;1092.89;1086.05;1092.89;1092.89;156780500.00;3010.73;3014.57;2995.04;2995.99;2995.99;3523890000.00;2945.60;2954.64;2934.39;2954.38;2954.38;117500.00;8188.12;8194.62;8101.98;8104.30;8104.30;1847200000.00
23/10/2019;1694.00;1699.00;1677.00;1697.00;1697.00;3593150.00;1086.29;1092.19;1085.29;1091.51;1091.51;172191400.00;2994.01;3004.78;2991.21;3004.52;3004.52;3392870000.00;2952.97;2957.30;2934.63;2941.62;2941.62;123800.00;8090.24;8122.88;8078.35;8119.79;8119.79;1805030000.00
24/10/2019;1706.00;1708.00;1702.00;1703.00;1703.00;1644950.00;1096.22;1099.40;1093.61;1098.93;1098.93;188515900.00;3014.78;3016.07;3000.42;3010.29;3010.29;3692600000.00;2944.01;2953.04;2927.06;2940.92;2940.92;126500.00;8180.04;8187.84;8137.66;8185.80;8185.80;1882490000.00
25/10/2019;1705.00;1708.00;1700.00;1707.00;1707.00;913090.00;1102.62;1102.62;1091.81;1098.98;1098.98;174449600.00;3003.32;3027.39;3001.94;3022.55;3022.55;3370370000.00;2940.47;2958.24;2920.52;2954.93;2954.93;136900.00;8150.59;8249.97;8150.59;8243.12;8243.12;1894740000.00
28/10/2019;1710.00;1712.00;1706.00;1708.00;1708.00;884630.00;1098.37;1102.41;1096.13;1099.33;1099.33;164913000.00;3032.12;3044.08;3032.12;3039.42;3039.42;3521230000.00;2958.69;2980.13;2956.96;2980.05;2980.05;173700.00;8285.77;8335.56;8285.27;8325.99;8325.99;1956280000.00
29/10/2019;1718.00;1725.00;1716.00;1723.00;1723.00;1388880.00;1099.53;1099.53;1095.59;1099.36;1099.36;193034000.00;3035.39;3047.87;3034.81;3036.89;3036.89;3589930000.00;2979.04;2979.04;2954.18;2954.18;2954.18;166100.00;8313.35;8319.29;8275.14;8276.85;8276.85;1834530000.00
30/10/2019;1723.00;1727.00;1718.00;1727.00;1727.00;1135790.00;1101.65;1104.74;1097.39;1104.74;1104.74;193420500.00;3039.74;3050.10;3025.96;3046.77;3046.77;3776030000.00;2949.46;2953.30;2934.83;2939.32;2939.32;158800.00;8284.28;8315.50;8241.70;8303.98;8303.98;1928420000.00
31/10/2019;1726.00;1729.00;1719.00;1724.00;1724.00;3031680.00;1105.17;1107.20;1095.52;1097.89;1097.89;249900900.00;3046.90;3046.90;3023.19;3037.56;3037.56;4139280000.00;2944.84;2946.75;2923.52;2929.06;2929.06;161600.00;8314.38;8321.80;8248.81;8292.36;8292.36;2258270000.00
01/11/2019;1714.00;1725.00;1713.00;1724.00;1724.00;1452400.00;1101.12;1106.69;1100.05;1103.74;1103.74;164071300.00;3050.72;3066.95;3050.72;3066.91;3066.91;3930200000.00;2924.34;2959.83;2917.15;2958.20;2958.20;159900.00;8335.05;8386.75;8326.56;8386.40;8386.40;2057310000.00
04/11/2019;;;;;;;1108.27;1116.42;1108.07;1114.00;1114.00;215172200.00;3078.96;3085.20;3074.87;3078.27;3078.27;4146850000.00;2964.58;2983.06;2964.58;2975.49;2975.49;167200.00;8445.50;8451.37;8421.30;8433.20;8433.20;2149910000.00
05/11/2019;1747.00;1758.00;1742.00;1754.00;1754.00;2225980.00;1114.99;1120.01;1113.74;1119.25;1119.25;204969000.00;3080.80;3083.95;3072.15;3074.62;3074.62;4486130000.00;2977.70;3008.31;2968.03;2991.56;2991.56;179900.00;8446.62;8457.39;8421.05;8434.68;8434.68;2316710000.00
