date;DZD;AUD;BWP;BRL;BND;CAD;CLP;CNY;CZK;DKK;EUR;INR;ILS;JPY;KRW;KWD;MYR;MUR;MXN;NZD;NOK;OMR;PEN;PHP;PLN;QAR;RUB;SAR;SGD;ZAR;SEK;CHF;THB;TTD;AED;GBP;USD;UYU
03/09/2019;120.4933;0.6719;0.0901;4.1651;1.394;1.3343;724.72;7.1773;23.665;6.8178;1.0937;72.1899;3.549;106.3;1211.9;0.30405;4.225;;20.0039;0.6291;9.1606;0.3845;3.403;52.136;3.9882;3.64;66.9072;3.75;1.394;15.11565;9.88;0.9907;30.661;;3.6725;1.2031;1;36.699
04/09/2019;120.272;0.6775;0.0908;4.1243;1.3898;1.3263;725.69;7.1553;23.444;6.7693;1.1018;72.07;3.527;105.99;1215.2;0.30385;4.2125;36.192;19.7806;0.6344;9.0614;0.3845;3.389;52.258;3.9414;3.64;66.5002;3.75;1.3898;14.8608;9.7793;0.9845;30.599;;3.6725;1.221;1;36.651
05/09/2019;120.0348;0.6817;0.0915;4.0853;1.3836;1.3228;723.3;7.1431;23.379;6.7452;1.1058;71.8611;3.512;106.4;1209.7;0.3037;4.193;36.2259;19.6834;0.637;8.9828;0.3845;3.366;52.129;3.933;3.64;66.0528;3.75;1.3836;14.82745;9.7106;0.98295;30.565;;3.6725;1.23355;1;36.592
06/09/2019;;0.6823;0.0914;4.0644;1.3844;1.3174;717.52;7.1225;23.424;6.7665;1.1027;71.7323;3.517;107.05;1199.6;0.3037;4.177;36.2219;19.5623;0.6377;8.9988;0.3845;3.344;51.883;3.9315;3.64;65.9981;3.75;1.3844;14.73925;9.6811;0.99075;30.653;;3.6725;1.2298;1;36.429
09/09/2019;120.0506;0.686;0.0915;4.076;1.3803;1.3155;711.22;7.1337;23.431;6.7614;1.1033;71.5886;3.527;106.95;1196.9;0.3037;;;19.5398;0.6427;8.9425;0.3845;3.343;51.959;3.931;3.64;65.5698;3.75;1.3803;14.69435;9.6379;0.9912;30.653;6.7503;3.6725;1.23755;1;36.476
10/09/2019;119.9293;0.6857;0.0917;4.1102;1.3805;1.3153;713.72;7.102;23.431;6.758;1.104;;3.538;107.43;1192.4;0.3037;4.171;36.1775;19.5354;0.6435;8.9787;0.3845;3.344;51.844;3.9273;3.64;65.4393;3.75;1.3805;14.67125;9.6989;0.99085;30.643;6.7695;3.6725;1.2335;1;36.598
11/09/2019;119.9556;0.6875;0.092;4.0625;1.3793;1.3181;714.77;7.1159;23.507;6.7806;1.1003;71.6637;3.544;107.64;1191.9;0.3037;4.1805;;19.5478;0.6415;8.9744;0.3845;3.342;51.943;3.9324;3.64;65.4321;3.75;1.3793;14.67205;9.6814;0.9932;30.621;6.772;3.6725;1.2354;1;36.523
12/09/2019;120.14;0.6881;0.0918;4.0488;1.3763;1.3205;714.39;7.0847;23.565;6.8067;1.0963;71.3175;3.541;108.03;;0.3039;4.173;36.2116;19.4265;0.6425;8.9887;0.3845;3.328;52.133;3.9362;3.64;65.1909;3.75;1.3763;;9.6573;0.99035;30.495;6.7731;3.6725;1.23205;1;36.444
13/09/2019;119.7501;0.6873;0.0923;4.061;1.3737;1.3257;711.29;;23.286;6.7302;1.1096;70.9387;3.527;108.2;;0.3039;4.1645;36.2186;19.3665;0.6406;8.9413;0.3845;3.315;52.001;3.912;3.64;64.4711;3.75;1.3737;14.5131;9.6066;0.98655;30.427;6.7697;3.6725;1.24525;1;36.451
16/09/2019;119.8081;0.6875;0.0921;4.0866;1.3733;1.3248;707.07;7.0659;23.461;6.7691;1.1031;71.5362;3.538;;1191.4;0.30365;;36.2399;;0.6381;8.9786;0.3845;3.322;51.835;3.9116;3.64;63.8272;3.75;1.3733;14.64035;9.6075;0.99115;30.49;6.7373;3.6725;1.2451;1;36.644
17/09/2019;120.1348;0.6841;0.0917;4.0992;1.3765;1.3257;709.81;7.0913;23.499;6.7723;1.1026;71.8196;;108.19;1184;0.30385;4.1795;36.2399;19.4262;0.6332;8.9529;0.3845;3.341;52.262;3.9412;3.64;64.1213;3.75;1.3765;14.8094;9.6763;0.99435;30.566;6.729;3.6725;1.2404;1;36.748
18/09/2019;119.9715;0.6849;0.092;4.0966;1.3755;1.3271;;7.091;23.424;6.7559;1.1053;71.3132;3.541;108.21;1188.3;0.3037;4.185;36.2342;19.3528;0.6345;8.9482;0.3845;3.342;52.337;3.9322;3.64;64.429;3.75;1.3755;14.6223;9.6995;0.99575;30.536;6.7392;3.6725;1.2463;1;36.744
19/09/2019;119.9398;0.679;0.0919;4.1387;1.3789;1.3259;;7.0969;23.398;6.7473;1.1067;71.1382;3.521;108.13;1190.5;0.3037;4.198;;19.3981;0.6305;8.9369;0.3845;3.353;52.215;3.9267;3.64;64.2199;3.75;1.3789;14.6743;9.737;0.99105;30.57;6.7407;3.6725;1.24505;1;36.766
20/09/2019;119.9031;0.6802;0.0918;4.1681;1.3758;1.3275;709.81;7.0881;23.49;6.7695;1.103;70.937;3.513;108;1195.1;0.3037;4.1795;36.2271;19.4478;;9.0139;0.3845;3.357;52.28;3.9319;3.64;63.8487;3.75;1.3758;14.8648;9.6721;0.9914;30.49;6.7407;3.6725;1.2501;1;36.776
23/09/2019;120.2773;0.6778;0.0913;4.1728;1.3761;1.327;715.24;7.1213;23.567;6.7969;1.0985;70.9212;3.517;;1191.1;0.3037;4.1625;36.2484;19.4459;0.6271;9.0781;0.3845;3.362;52.142;3.9983;3.64;63.9453;3.75;1.3761;14.8947;9.7402;0.9912;30.483;6.7482;3.6725;1.24295;1;36.75
24/09/2019;120.1876;0.6781;0.0914;4.1715;1.3777;1.3249;722.17;7.1052;23.514;6.7855;1.1003;70.8477;3.507;107.66;1193.1;0.3038;4.1775;36.2407;19.4587;0.629;9.018;0.3845;3.344;52.06;3.9838;3.64;63.706;;1.3777;;9.7207;0.98925;30.518;;3.6725;1.24445;1;36.789
25/09/2019;120.1085;0.6782;0.0913;4.1821;1.3764;1.327;721.92;7.1238;23.55;6.7973;1.0982;71.0395;3.501;107.07;1194;0.3037;4.185;;19.5775;0.632;9.043;0.3845;3.348;52.189;3.9856;3.64;64.1873;3.75;1.3764;15.0409;9.6956;0.98625;30.582;6.7643;3.6725;1.2417;1;36.88
26/09/2019;120.3562;0.6752;0.0908;4.1463;1.3789;1.326;727.08;7.131;23.636;6.8242;1.0938;70.9021;3.517;107.71;1198.3;0.3039;4.1935;36.325;19.6363;0.628;9.0725;0.3845;3.362;52.262;4.0092;3.64;64.2888;3.75;1.3789;14.95885;9.7563;0.99435;30.611;6.7589;3.6725;1.23425;1;36.812
27/09/2019;120.5301;0.6762;0.0906;4.1581;1.3824;1.3249;726.17;7.1234;23.633;6.8277;1.0935;70.8381;3.482;107.77;1199.1;0.3039;4.1945;36.3757;19.6808;0.629;9.0677;;3.384;52.17;4.0154;;64.4156;;1.3824;15.0674;9.7794;0.99225;30.626;6.7705;;1.23065;1;36.851
