date,open,high,low,close,adj_close,volume
2019-10-21,104729.000000,106027.000000,104696.000000,106022.000000,106022.000000,3504900
2019-10-22,107101.000000,107382.000000,107076.000000,107381.000000,107381.000000,5224900
2019-10-23,107381.000000,107959.000000,107041.000000,107544.000000,107544.000000,4656200
2019-10-24,107553.000000,107744.000000,106593.000000,106986.000000,106986.000000,5619200
2019-10-25,106990.000000,108083.000000,106990.000000,107364.000000,107364.000000,5398900
2019-10-28,107366.000000,108393.000000,107362.000000,108187.000000,108187.000000,3967200
2019-10-29,108189.000000,108195.000000,107313.000000,107556.000000,107556.000000,4313200
2019-10-30,107557.000000,108408.000000,106622.000000,108408.000000,108408.000000,5450600
2019-10-31,108403.000000,108403.000000,106356.000000,107220.000000,107220.000000,5376000
2019-11-01,107221.000000,108496.000000,107220.000000,108196.000000,108196.000000,5466300
2019-11-04,108196.000000,109352.000000,108196.000000,108601.000000,108601.000000,5182200
2019-11-05,108779.000000,109343.000000,108253.000000,108451.000000,108451.000000,5657600
2019-11-06,108719.000000,109633.000000,107446.000000,108336.000000,108336.000000,5505500
2019-11-07,108360.000000,109672.000000,108360.000000,109581.000000,109581.000000,6075600
2019-11-08,109572.000000,109572.000000,107127.000000,107629.000000,107629.000000,5419600
2019-11-11,107622.000000,108263.000000,106814.000000,108215.000000,108215.000000,3928900
2019-11-12,108368.000000,108368.000000,106232.000000,106785.000000,106785.000000,5219300
2019-11-13,106751.000000,106786.000000,105261.000000,105914.000000,105914.000000,5339000
2019-11-14,106052.000000,106758.000000,105820.000000,106557.000000,106557.000000,5364300
2019-11-18,106566.000000,107519.000000,106282.000000,106347.000000,106347.000000,4919800
2019-11-19,106269.000000,106950.000000,105367.000000,105618.000000,105618.000000,3610300
2019-11-21,105866.000000,107497.000000,105864.000000,107497.000000,107497.000000,5819400
2019-11-22,107497.000000,108692.000000,107157.000000,108692.000000,108692.000000,4796100
2019-11-25,108692.000000,108915.000000,108080.000000,108424.000000,108424.000000,4512400
2019-11-26,108424.000000,108424.000000,106414.000000,107059.000000,107059.000000,6904900
2019-11-27,107059.000000,107991.000000,106312.000000,107708.000000,107708.000000,4418200
2019-11-28,107708.000000,108333.000000,107148.000000,108290.000000,108290.000000,3666100
2019-11-29,108283.000000,108708.000000,107759.000000,108233.000000,108233.000000,4186600
2019-12-02,108246.000000,109279.000000,108245.000000,109061.000000,109061.000000,4708000
2019-12-03,108931.000000,109198.000000,108190.000000,108956.000000,108956.000000,5223100
2019-12-04,108962.000000,110301.000000,108962.000000,110301.000000,110301.000000,4889500
2019-12-05,110297.000000,111073.000000,110008.000000,110622.000000,110622.000000,4399100
2019-12-06,110623.000000,111430.000000,110623.000000,111126.000000,111126.000000,4968100
2019-12-09,111125.000000,111453.000000,110870.000000,110977.000000,110977.000000,4991500
2019-12-10,110973.000000,111184.000000,110133.000000,110672.000000,110672.000000,4758800
2019-12-11,110672.000000,111227.000000,110530.000000,110964.000000,110964.000000,5146100
2019-12-12,110963.000000,112445.000000,110963.000000,112200.000000,112200.000000,5682000
2019-12-13,112205.000000,112829.000000,111780.000000,112565.000000,112565.000000,7712100
2019-12-16,112565.000000,113197.000000,111896.000000,111896.000000,111896.000000,6078300
2019-12-17,111897.000000,112695.000000,111897.000000,112616.000000,112616.000000,5352500
2019-12-18,112618.000000,114339.000000,112300.000000,114315.000000,114315.000000,7940900
2019-12-19,114313.000000,115132.000000,113712.000000,115131.000000,115131.000000,5784600
2019-12-20,115133.000000,115171.000000,114526.000000,115121.000000,115121.000000,6887400
2019-12-23,115119.000000,115863.000000,114964.000000,115863.000000,115863.000000,3995200
2019-12-26,115864.000000,117220.000000,115673.000000,117203.000000,117203.000000,3788900
2019-12-27,117205.000000,117803.000000,115995.000000,116534.000000,116534.000000,3905900
2019-12-30,116530.000000,117086.000000,115790.000000,115964.000000,115964.000000,3667900
2020-01-02,115652.000000,118573.000000,115649.000000,118573.000000,118573.000000,5162700
2020-01-03,118564.000000,118792.000000,117341.000000,117707.000000,117707.000000,6834500
2020-01-06,117707.000000,117707.000000,116269.000000,116878.000000,116878.000000,6570000
2020-01-07,116872.000000,117076.000000,115965.000000,116662.000000,116662.000000,4854100
2020-01-08,116667.000000,117335.000000,115693.000000,116247.000000,116247.000000,5910500
2020-01-09,116248.000000,116820.000000,115411.000000,115947.000000,115947.000000,5953500
2020-01-10,115948.000000,116745.000000,114952.000000,115503.000000,115503.000000,4783400
