date,open,high,low,close,adj_close,volume
2019-10-21,13019.250000,13091.940430,13019.250000,13088.610352,13088.610352,3271620000
2019-10-22,13097.030273,13140.570313,13070.209961,13071.860352,13071.860352,3523890000
2019-10-23,13076.379883,13114.610352,13062.740234,13114.389648,13114.389648,3392870000
2019-10-24,13119.650391,13153.330078,13083.290039,13118.900391,13118.900391,3692600000
2019-10-25,13106.209961,13170.690430,13088.940430,13146.240234,13146.240234,3370370000
2019-10-28,13183.900391,13223.190430,13183.900391,13186.429688,13186.429688,3521230000
2019-10-29,13170.900391,13239.200195,13156.750000,13209.629883,13209.629883,3589930000
2019-10-30,13215.870117,13248.650391,13152.959961,13244.009766,13244.009766,3776030000
2019-10-31,13239.429688,13239.429688,13116.580078,13171.809570,13171.809570,4139280000
2019-11-01,13231.179688,13300.349609,13231.179688,13300.269531,13300.269531,3930200000
2019-11-04,13321.179688,13387.490234,13321.179688,13355.440430,13355.440430,4146850000
2019-11-05,13368.240234,13385.030273,13323.059570,13339.589844,13339.589844,4486130000
2019-11-06,13339.839844,13364.940430,13319.790039,13351.570313,13351.570313,4458190000
2019-11-07,13376.929688,13436.969727,13376.929688,13395.549805,13395.549805,4144640000
2019-11-08,13376.339844,13407.809570,13343.019531,13407.799805,13407.799805,3499150000
2019-11-11,13347.299805,13395.650391,13333.910156,13388.120117,13388.120117,3035530000
2019-11-12,13391.969727,13438.759766,13366.879883,13387.620117,13387.620117,3466010000
2019-11-13,13387.620117,13400.799805,13325.519531,13385.049805,13385.049805,3509280000
2019-11-14,13385.049805,13397.040039,13346.759766,13392.000000,13392.000000,3276070000
2019-11-15,13432.759766,13492.959961,13426.980469,13492.959961,13492.959961,3335650000
2019-11-18,13488.480469,13498.080078,13464.009766,13483.809570,13483.809570,3436690000
2019-11-19,13489.780273,13508.879883,13448.269531,13466.349609,13466.349609,3590070000
2019-11-20,13460.339844,13460.339844,13360.660156,13419.299805,13419.299805,4034890000
2019-11-21,13420.330078,13430.709961,13366.990234,13406.419922,13406.419922,3720560000
2019-11-22,13412.269531,13451.419922,13404.540039,13440.950195,13440.950195,3226780000
2019-11-25,13471.519531,13534.589844,13471.519531,13532.889648,13532.889648,3511530000
2019-11-26,13532.559570,13564.629883,13513.110352,13559.709961,13559.709961,4595590000
2019-11-27,13577.519531,13611.490234,13563.339844,13607.620117,13607.620117,3033090000
2019-11-29,13595.860352,13607.669922,13537.669922,13545.209961,13545.209961,1743020000
2019-12-02,13554.290039,13554.290039,13443.099609,13448.259766,13448.259766,3268740000
2019-12-03,13363.660156,13373.879883,13280.040039,13366.089844,13366.089844,3653390000
2019-12-04,13408.080078,13484.410156,13408.080078,13457.969727,13457.969727,3695030000
2019-12-05,13466.730469,13491.209961,13429.299805,13482.299805,13482.299805,3355750000
2019-12-06,13515.480469,13612.059570,13515.480469,13588.290039,13588.290039,3479480000
2019-12-09,13570.540039,13600.139648,13555.070313,13555.070313,13555.070313,3345990000
2019-12-10,13551.000000,13574.219727,13521.240234,13545.309570,13545.309570,3343790000
2019-12-11,13554.089844,13590.740234,13547.679688,13579.919922,13579.919922,3252540000
2019-12-12,13587.700195,13725.349609,13581.080078,13697.410156,13697.410156,3990690000
2019-12-13,13711.250000,13773.129883,13655.450195,13697.339844,13697.339844,3736870000
2019-12-16,13781.650391,13825.759766,13781.650391,13795.150391,13795.150391,4051790000
2019-12-17,13795.150391,13813.309570,13787.719727,13795.349609,13795.349609,3837540000
2019-12-18,13805.200195,13819.700195,13790.240234,13799.209961,13799.209961,4014080000
2019-12-19,13801.730469,13838.990234,13798.780273,13831.669922,13831.669922,3720450000
2019-12-20,13831.669922,13914.280273,13831.669922,13889.250000,13889.250000,6454270000
2019-12-23,13906.870117,13908.160156,13888.589844,13899.990234,13899.990234,3060610000
2019-12-24,13902.959961,13902.959961,13885.559570,13895.139648,13895.139648,1296540000
2019-12-26,13911.160156,13941.559570,13895.200195,13940.419922,13940.419922,2160680000
2019-12-27,13976.849609,13978.610352,13928.150391,13944.139648,13944.139648,2428670000
2019-12-30,13951.259766,13952.780273,13864.570313,13876.150391,13876.150391,3013290000
2019-12-31,13852.599609,13915.740234,13843.980469,13913.030273,13913.030273,2893810000
2020-01-02,13913.030273,14003.389648,13913.030273,14002.490234,14002.490234,3458250000
2020-01-03,13877.480469,13950.740234,13870.740234,13917.049805,13917.049805,3461290000
2020-01-06,13856.719727,13943.299805,13852.730469,13941.799805,13941.799805,3674070000
2020-01-07,13911.190430,13923.509766,13880.530273,13898.450195,13898.450195,3420380000
2020-01-08,13897.009766,13986.690430,13896.589844,13934.440430,13934.440430,3720890000
2020-01-09,13974.070313,14004.419922,13960.169922,13997.650391,13997.650391,3638390000
2020-01-10,14018.120117,14021.650391,13941.519531,13957.969727,13957.969727,3212970000
2020-01-13,13980.469727,14042.650391,13963.870117,14042.650391,14042.650391,3456380000
2020-01-14,14024.230469,14068.580078,14005.629883,14037.129883,14037.129883,3665130000
2020-01-15,14022.299805,14089.940430,14021.179688,14053.230469,14053.230469,3716840000
2020-01-16,14103.530273,14142.309570,14094.879883,14141.780273,14141.780273,3535080000
2020-01-17,14168.139648,14183.259766,14156.400391,14183.200195,14183.200195,3698170000
2020-01-21,14126.120117,14153.019531,14102.389648,14109.980469,14109.980469,4105340000
2020-01-22,14147.889648,14168.200195,14104.059570,14110.240234,14110.240234,3619850000
2020-01-23,14064.280273,14109.589844,14003.280273,14102.040039,14102.040039,3764860000
2020-01-24,14120.019531,14120.019531,13920.570313,13978.469727,13978.469727,3707130000
2020-01-27,13746.629883,13826.429688,13742.009766,13769.599609,13769.599609,3823100000
2020-01-28,13812.650391,13913.589844,13798.339844,13877.610352,13877.610352,3526720000
2020-01-29,13912.790039,13922.440430,13843.790039,13843.809570,13843.809570,3584500000
2020-01-30,13745.200195,13869.639648,13699.809570,13861.919922,13861.919922,3787250000
2020-01-31,13783.809570,13788.219727,13573.040039,13614.099609,13614.099609,4527830000
2020-02-03,13655.889648,13765.330078,13655.889648,13677.919922,13677.919922,3757910000
2020-02-04,13826.099609,13920.629883,13826.099609,13862.839844,13862.839844,3995320000
2020-02-05,13964.000000,14029.910156,13947.589844,14024.860352,14024.860352,4117730000
2020-02-06,14066.900391,14069.330078,14023.480469,14034.950195,14034.950195,3868370000
2020-02-07,13987.509766,13987.509766,13912.040039,13931.929688,13931.929688,3730650000
2020-02-10,13904.019531,13984.549805,13899.530273,13984.480469,13984.480469,3450350000
2020-02-11,13984.480469,14100.269531,13984.480469,14054.080078,14054.080078,3760550000
2020-02-12,14117.830078,14148.240234,14108.519531,14136.980469,14136.980469,3926380000
2020-02-13,14069.250000,14132.879883,14049.129883,14099.040039,14099.040039,3498240000
2020-02-14,14104.769531,14110.190430,14046.599609,14097.339844,14097.339844,3398040000
2020-02-18,14047.910156,14072.690430,13990.700195,14039.009766,14039.009766,3746720000
2020-02-19,14077.509766,14115.950195,14066.240234,14087.129883,14087.129883,3600150000
2020-02-20,14061.040039,14104.919922,13955.750000,14061.480469,14061.480469,4007320000
2020-02-21,14014.629883,14014.629883,13931.129883,13975.780273,13975.780273,3899270000
