date,open,high,low,close,adj_close,volume
2019-10-21,21.430000,21.490000,21.430000,21.480000,19.165245,10900
2019-10-22,21.510000,21.600000,21.500000,21.500000,19.183083,9700
2019-10-23,21.469999,21.490000,21.360001,21.379999,19.076015,23500
2019-10-24,21.450001,21.450001,21.290001,21.320000,19.022484,29300
2019-10-25,21.200001,21.290001,21.190001,21.270000,19.058323,7600
2019-10-28,21.340000,21.360001,21.299999,21.299999,19.085205,15400
2019-10-29,21.250000,21.340000,21.240000,21.290001,19.076250,8600
2019-10-30,21.290001,21.379999,21.270000,21.350000,19.130007,12100
2019-10-31,21.360001,21.360001,21.250000,21.320000,19.103125,26800
2019-11-01,21.400000,21.469999,21.400000,21.440001,19.210644,39600
2019-11-04,21.520000,21.610001,21.510000,21.590000,19.345049,19900
2019-11-05,21.650000,21.650000,21.570000,21.600000,19.354012,5900
2019-11-06,21.639999,21.700001,21.580000,21.670000,19.416735,21500
2019-11-07,21.780001,21.889999,21.780001,21.830000,19.560093,17300
2019-11-08,21.809999,21.930000,21.809999,21.930000,19.649698,32100
2019-11-11,21.889999,21.959999,21.889999,21.940001,19.658657,13100
2019-11-12,21.959999,22.059999,21.959999,22.020000,19.730341,35200
2019-11-13,22.000000,22.090000,21.990000,22.090000,19.793060,23300
2019-11-14,22.059999,22.120001,22.059999,22.120001,19.819937,27300
2019-11-15,22.139999,22.240000,22.129999,22.209999,19.900583,19100
2019-11-18,22.200001,22.209999,22.160000,22.190001,19.882666,19500
2019-11-19,22.209999,22.209999,22.120001,22.180000,19.873701,13700
2019-11-20,22.150000,22.209999,22.120001,22.160000,19.855783,12700
2019-11-21,22.170000,22.170000,22.090000,22.129999,19.828899,14200
2019-11-22,22.180000,22.190001,22.120001,22.129999,19.828899,12900
2019-11-25,22.150000,22.209999,22.139999,22.209999,19.900583,9300
2019-11-26,22.110001,22.110001,21.950001,22.020000,19.810619,14500
2019-11-27,22.100000,22.129999,22.049999,22.129999,19.909580,12400
2019-11-28,22.150000,22.170000,22.129999,22.160000,19.936565,20100
2019-11-29,22.150000,22.180000,22.120001,22.120001,19.900579,20400
2019-12-02,22.110001,22.110001,21.959999,22.000000,19.792624,23900
2019-12-03,21.910000,21.910000,21.760000,21.860001,19.666670,33500
2019-12-04,21.870001,21.950001,21.870001,21.930000,19.729645,12000
2019-12-05,21.940001,21.940001,21.889999,21.930000,19.729645,23600
2019-12-06,22.010000,22.180000,22.010000,22.160000,19.936565,18100
2019-12-09,22.150000,22.180000,22.110001,22.180000,19.954565,12200
2019-12-10,22.170000,22.250000,22.170000,22.200001,19.972555,18600
2019-12-11,22.200001,22.260000,22.100000,22.100000,19.882586,82700
